"Time","Header","half0_0","half0_1","half0_2","half0_3","half1_3","half1_2","half1_1","half1_0","Priority Index","H/U","Class Type","Address","Data Item Type","Data Item Number","Counter","Att"
"3665468104.67856","00002106008E","4","3","2","1","5","6","7","8","0","Host","Status","3","Status Message Type / Version Message Number","1","7","0"
"3665468104.67885","00002100008A","4","3","2","1","5","6","7","8","0","Host","Status","0","Status Message Type / Version Message Number","1","5","0"
"3665468104.67913","00002100000C","4","3","2","1","5","6","7","8","0","Host","Status","0","Status Message Type / Version Message Number","0","6","0"
"3665468104.67942","00002100020E","4","3","2","1","5","6","7","8","0","Host","Status","0","Status Message Type / Version Message Number","4","7","0"
"3665468104.67971","23060082","3","3","2","0","0","0","0","0","0","Unit","Status","3","Status Message Type / Version Message Number","1","1","0"
"3665468104.68002","23060084","3","3","2","0","0","0","0","0","0","Unit","Status","3","Status Message Type / Version Message Number","1","2","0"
"3665468104.68032","23060006","6","3","0","0","0","0","0","0","0","Unit","Status","3","Status Message Type / Version Message Number","0","3","0"
"3665468104.68063","23060208","0","0","0","0","0","0","88","0","0","Unit","Status","3","Status Message Type / Version Message Number","4","4","0"
"3665468104.77923","00002306028A","0","1","0","1","0","0","26","2","0","Unit","Status","3","Status Message Type / Version Message Number","5","5","0"
"3665468104.87918","00002306030C","0","0","0","0","0","0","D0","0","0","Unit","Status","3","Status Message Type / Version Message Number","6","6","0"
"3665468104.97925","00002306038E","0","0","0","0","0","0","0","0","0","Unit","Status","3","Status Message Type / Version Message Number","7","7","0"
"3665468105.07919","23060400","0","0","0","1","0","0","0","0","0","Unit","Status","3","Status Message Type / Version Message Number","8","0","0"
"3665468105.67837","21000080","4","3","2","1","5","6","7","8","0","Host","Status","0","Status Message Type / Version Message Number","1","0","0"
"3665468105.67878","23060082","3","3","2","0","0","0","4","0","0","Unit","Status","3","Status Message Type / Version Message Number","1","1","0"
"3665468110.67951","21060080","4","3","2","1","5","6","7","8","0","Host","Status","3","Status Message Type / Version Message Number","1","0","0"
"3665468110.67980","21000082","4","3","2","1","5","6","7","8","0","Host","Status","0","Status Message Type / Version Message Number","1","1","0"
"3665468110.68008","21000004","4","3","2","1","5","6","7","8","0","Host","Status","0","Status Message Type / Version Message Number","0","2","0"
"3665468110.68037","21000206","4","3","2","1","5","6","7","8","0","Host","Status","0","Status Message Type / Version Message Number","4","3","0"
"3665468110.68066","23060084","3","3","2","0","0","0","4","0","0","Unit","Status","3","Status Message Type / Version Message Number","1","2","0"
"3665468110.68097","23060086","3","3","2","0","0","0","4","0","0","Unit","Status","3","Status Message Type / Version Message Number","1","3","0"
"3665468110.68128","23060008","6","3","0","0","0","0","0","0","0","Unit","Status","3","Status Message Type / Version Message Number","0","4","0"
"3665468110.68158","00002306020A","0","0","0","0","0","0","89","0","0","Unit","Status","3","Status Message Type / Version Message Number","4","5","0"
"3665468110.78042","00002306028C","0","1","0","1","0","0","2F","2","0","Unit","Status","3","Status Message Type / Version Message Number","5","6","0"
"3665468110.88043","00002306030E","0","0","0","0","0","0","D4","0","0","Unit","Status","3","Status Message Type / Version Message Number","6","7","0"
"3665468110.98044","23060380","0","0","0","0","0","0","0","0","0","Unit","Status","3","Status Message Type / Version Message Number","7","0","0"
"3665468111.08049","23060402","0","0","0","1","0","0","0","0","0","Unit","Status","3","Status Message Type / Version Message Number","8","1","0"
"3665468111.67961","21000088","4","3","2","1","5","6","7","8","0","Host","Status","0","Status Message Type / Version Message Number","1","4","0"
"3665468111.68004","23060084","3","3","2","0","0","0","4","0","0","Unit","Status","3","Status Message Type / Version Message Number","1","2","0"
